UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
C,1,2018,999,324890414,159593573,165296841,122850483,125649580,20771001,22701582,2087601,2064447,9106352,9994963,398788,393728,4379348,4492541,126749464,129626435,22728526,24752197,3395945,3448117,10735256,11629063,785366,788562,129953681,136132637,96864743,100124227,19343526,21220058,1174398,1218886,8803644,9690622,287285,289146,3480085,3589698,99961681,103298883,20885978,22845436,2104436,2225020,10183591,11074526,589935,600088,29639892,29164204,25985740,25525353,1427475,1481524,913203,845561,302708,304341,111503,104582,899263,902843,26787783,26327552,1842548,1906761,1291509,1223097,551665,554537,195431,188474
C,1,2018,0,3846830,1967435,1879395,1372597,1308671,307362,298441,36277,34316,117476,110185,7249,6822,126474,120960,1488852,1419920,376849,365483,60034,57098,164494,154562,16028,15062,1463666,1394447,958656,909965,273686,265856,15285,14585,109916,102899,4610,4257,101513,96885,1052449,999545,330248,320400,30665,29284,149157,139806,11096,10296,503769,484948,413941,398706,33676,32585,20992,19731,7560,7286,2639,2565,24961,24075,436403,420375,46601,45083,29369,27814,15337,14756,4932,4766
C,1,2018,1,3955080,2021550,1933530,1420983,1354635,305980,299351,35757,34667,123394,115681,7368,6978,128068,122218,1538726,1467040,375409,366141,60122,58023,171570,161082,16341,15392,1504214,1435958,992677,942946,272401,266898,16032,15400,115715,108388,4696,4386,102693,97940,1087571,1033502,328768,321184,31870,30544,155955,146223,11333,10580,517336,497572,428306,411689,33579,32453,19725,19267,7679,7293,2672,2592,25375,24278,451155,433538,46641,44957,28252,27479,15615,14859,5008,4812
C,1,2018,2,4005943,2048549,1957394,1447349,1377816,310345,302285,35132,33792,120836,113900,7195,6938,127692,122663,1564801,1490638,379555,369401,59718,57312,168543,159261,16117,15430,1525390,1454627,1011649,959553,277150,270078,16350,15600,113252,106673,4524,4347,102465,98376,1106390,1050505,333445,324688,32376,30904,153077,144497,11121,10618,523159,502767,435700,418263,33195,32207,18782,18192,7584,7227,2671,2591,25227,24287,458411,440133,46110,44713,27342,26408,15466,14764,4996,4812
C,1,2018,3,4032420,2061607,1970813,1455329,1385171,311915,304397,35187,34268,124797,118122,7082,6864,127297,121991,1572377,1497336,380550,370861,59788,57866,172635,163324,16058,15340,1542337,1470723,1022808,969066,278409,272081,16573,16053,117597,111176,4563,4401,102387,97946,1117437,1059577,334238,326158,32704,31468,157707,148963,11241,10709,519270,500090,432521,416105,33506,32316,18614,18215,7200,6946,2519,2463,24910,24045,454940,437759,46312,44703,27084,26398,14928,14361,4817,4631
C,1,2018,4,3991970,2041825,1950145,1443361,1373927,311187,302534,35660,34149,119698,113182,6771,6473,125148,119880,1558375,1484059,378442,367941,60113,57508,166704,157480,15778,14900,1527123,1455886,1014169,962014,278230,270791,16982,16206,112853,106592,4411,4159,100478,96124,1106993,1050767,332894,323985,33036,31499,152138,143524,11038,10325,514702,494259,429192,411913,32957,31743,18678,17943,6845,6590,2360,2314,24670,23756,451382,433292,45548,43956,27077,26009,14566,13956,4740,4575
C,1,2018,5,4024329,2056094,1968235,1452938,1386812,311860,303421,35331,34089,124443,117766,6903,6659,124619,119488,1567354,1496506,378397,367873,59782,57633,171639,162407,15941,15243,1538352,1467953,1019870,968482,279275,271938,17082,16441,117668,111083,4510,4286,99947,95723,1112081,1056799,333211,324227,33101,31851,157200,148353,11188,10596,517742,500282,433068,418330,32585,31483,18249,17648,6775,6683,2393,2373,24672,23765,455273,439707,45186,43646,26681,25782,14439,14054,4753,4647
C,1,2018,6,4034190,2062818,1971372,1467695,1398173,312302,303537,35595,34479,117261,111386,6619,6358,123346,117439,1580992,1505989,378501,366802,60190,57958,163327,155083,15506,14775,1537295,1465221,1026483,973513,280149,272525,17232,16401,110585,104974,4232,4044,98614,93764,1117525,1060033,333748,323699,33327,31707,148977,141369,10754,10188,525523,506151,441212,424660,32153,31012,18363,18078,6676,6412,2387,2314,24732,23675,463467,445956,44753,43103,26863,26251,14350,13714,4752,4587
C,1,2018,7,4096944,2092776,2004168,1497901,1430074,315848,306781,33783,32891,114905,109998,6479,6111,123860,118313,1611809,1538800,382095,370573,58856,57097,160858,153371,15383,14476,1552334,1482768,1037934,986490,285804,277171,17287,16916,108504,104027,4252,4043,98553,94121,1128984,1073355,339217,328575,33557,32684,146733,140164,10783,10182,540442,521400,459967,443584,30044,29610,16496,15975,6401,5971,2227,2068,25307,24192,482825,465445,42878,41998,25299,24413,14125,13207,4600,4294
C,1,2018,8,4028165,2054897,1973268,1477274,1411977,309633,301650,33051,32010,109958,106258,6191,6040,118790,115333,1586542,1517922,373415,364293,57117,55434,153716,148149,14599,14235,1524354,1461261,1023939,974834,280532,273299,17439,16947,103918,100393,4176,4030,94350,91758,1111180,1059509,332034,323874,33013,32216,140185,135251,10351,10038,530543,512007,453335,437143,29101,28351,15612,15063,6040,5865,2015,2010,24440,23575,475362,458413,41381,40419,24104,23218,13531,12898,4248,4197
